parc_name,parcel_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zfALFF_sws_total_fdr,zReHo_sws_total_fdr,sws_total
17Networks_RH_ContB_IPL_3,zfALFF_17Networks_RH_ContB_IPL_3,,,,,0.046521825501342,,0.046521825501342
17Networks_RH_ContB_IPL_1,zfALFF_17Networks_RH_ContB_IPL_1,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_ContB_Temp_2,zfALFF_17Networks_RH_ContB_Temp_2,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_ContA_Cingm_1,zfALFF_17Networks_RH_ContA_Cingm_1,,,,,0.041177301859391,,0.041177301859391
17Networks_RH_ContA_PFCl_5,zfALFF_17Networks_RH_ContA_PFCl_5zALFF_17Networks_RH_ContA_PFCl_5zDCwei_17Networks_RH_ContA_PFCl_5zDCbin_17Networks_RH_ContA_PFCl_5,0,0.032872898931033,0.033089177551158,0.03444788297338,0.021049219425849,0,0.12145917888142
17Networks_RH_ContA_PFCl_4,zfALFF_17Networks_RH_ContA_PFCl_4zALFF_17Networks_RH_ContA_PFCl_4,0,0.0292415330267,0,0,0.011271375510173,0,0.040512908536873
17Networks_RH_ContA_PFCl_3,zfALFF_17Networks_RH_ContA_PFCl_3,,,,,0.016676536868844,,0.016676536868844
17Networks_RH_ContA_PFCl_2,zfALFF_17Networks_RH_ContA_PFCl_2,,,,,0.026903880702785,,0.026903880702785
17Networks_RH_ContA_PFCl_1,zfALFF_17Networks_RH_ContA_PFCl_1,,,,,0.009778574333817,,0.009778574333817
17Networks_RH_ContA_PFCd_1,zfALFF_17Networks_RH_ContA_PFCd_1,,,,,0.03859447712233,,0.03859447712233
17Networks_RH_ContA_IPS_4,zfALFF_17Networks_RH_ContA_IPS_4,,,,,0.020950240934517,,0.020950240934517
17Networks_RH_ContA_IPS_3,zfALFF_17Networks_RH_ContA_IPS_3,,,,,0.03444788297338,,0.03444788297338
17Networks_RH_ContA_IPS_2,zfALFF_17Networks_RH_ContA_IPS_2,,,,,0.035628445120417,,0.035628445120417
17Networks_RH_ContA_IPS_1,zfALFF_17Networks_RH_ContA_IPS_1,,,,,0.038571567758869,,0.038571567758869
17Networks_RH_SalVentAttnB_PFCmp_2,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_2,,,,,0.026903880702785,,0.026903880702785
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,,,,0.014855420518547,,0.014855420518547
17Networks_RH_SalVentAttnB_PFCl_3,zfALFF_17Networks_RH_SalVentAttnB_PFCl_3,,,,,0.040176966219139,,0.040176966219139
17Networks_RH_SalVentAttnB_PFCl_2,zfALFF_17Networks_RH_SalVentAttnB_PFCl_2,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,,,,,0.006447047112337,,0.006447047112337
17Networks_RH_SalVentAttnB_PFClv_1,zfALFF_17Networks_RH_SalVentAttnB_PFClv_1,,,,,0.026109301883924,,0.026109301883924
17Networks_RH_SalVentAttnA_FrMed_3,zfALFF_17Networks_RH_SalVentAttnA_FrMed_3,,,,,0.032872898931033,,0.032872898931033
17Networks_RH_SalVentAttnA_ParMed_4,zfALFF_17Networks_RH_SalVentAttnA_ParMed_4zDCwei_17Networks_RH_SalVentAttnA_ParMed_4zDCbin_17Networks_RH_SalVentAttnA_ParMed_4,0,0,0.04750728904574,0.044540428762109,0.04750728904574,0,0.139555006853589
17Networks_RH_SalVentAttnA_ParMed_3,zfALFF_17Networks_RH_SalVentAttnA_ParMed_3,,,,,0.023951422516612,,0.023951422516612
17Networks_RH_SalVentAttnA_FrMed_2,zfALFF_17Networks_RH_SalVentAttnA_FrMed_2,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_SalVentAttnA_ParMed_2,zfALFF_17Networks_RH_SalVentAttnA_ParMed_2zDCwei_17Networks_RH_SalVentAttnA_ParMed_2zDCbin_17Networks_RH_SalVentAttnA_ParMed_2,0,0,0.035035334903833,0.0292415330267,0.040176966219139,0,0.104453834149672
17Networks_RH_SalVentAttnA_FrMed_1,zfALFF_17Networks_RH_SalVentAttnA_FrMed_1zDCwei_17Networks_RH_SalVentAttnA_FrMed_1zDCbin_17Networks_RH_SalVentAttnA_FrMed_1,0,0,0.048666690964411,0.041309255498928,0.032136943545218,0,0.122112890008557
17Networks_RH_SalVentAttnA_FrOper_3,zfALFF_17Networks_RH_SalVentAttnA_FrOper_3,,,,,0.04620256910693,,0.04620256910693
17Networks_RH_SalVentAttnA_PrC_1,zfALFF_17Networks_RH_SalVentAttnA_PrC_1zALFF_17Networks_RH_SalVentAttnA_PrC_1,0,0.046281878094052,0,0,0.03444788297338,0,0.080729761067432
17Networks_RH_SalVentAttnA_ParOper_3,zfALFF_17Networks_RH_SalVentAttnA_ParOper_3,,,,,0.021335797044423,,0.021335797044423
17Networks_RH_DorsAttnB_FEF_2,zfALFF_17Networks_RH_DorsAttnB_FEF_2,,,,,0.032872898931033,,0.032872898931033
17Networks_RH_DorsAttnB_FEF_1,zfALFF_17Networks_RH_DorsAttnB_FEF_1zDCbin_17Networks_RH_DorsAttnB_FEF_1,0,0,0.04276510218173,0,0.043235049428021,0,0.086000151609751
17Networks_RH_DorsAttnB_PostC_5,zfALFF_17Networks_RH_DorsAttnB_PostC_5,,,,,0.026109301883924,,0.026109301883924
17Networks_RH_DorsAttnB_PostC_4,zfALFF_17Networks_RH_DorsAttnB_PostC_4,,,,,0.014855420518547,,0.014855420518547
17Networks_RH_DorsAttnB_PostC_3,zfALFF_17Networks_RH_DorsAttnB_PostC_3,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_DorsAttnB_PostC_2,zfALFF_17Networks_RH_DorsAttnB_PostC_2zALFF_17Networks_RH_DorsAttnB_PostC_2,0,0.008998852573122,0,0,0.008998852573122,0,0.017997705146244
17Networks_RH_DorsAttnB_PostC_1,zfALFF_17Networks_RH_DorsAttnB_PostC_1,,,,,0.026109301883924,,0.026109301883924
17Networks_RH_DorsAttnA_SPL_6,zfALFF_17Networks_RH_DorsAttnA_SPL_6,,,,,0.04620256910693,,0.04620256910693
17Networks_RH_DorsAttnA_SPL_5,zfALFF_17Networks_RH_DorsAttnA_SPL_5,,,,,0.044540428762109,,0.044540428762109
17Networks_RH_DorsAttnA_SPL_4,zfALFF_17Networks_RH_DorsAttnA_SPL_4,,,,,0.04750728904574,,0.04750728904574
17Networks_RH_DorsAttnA_SPL_1,zfALFF_17Networks_RH_DorsAttnA_SPL_1,,,,,0.035628445120417,,0.035628445120417
17Networks_RH_SomMotB_Cent_3,zfALFF_17Networks_RH_SomMotB_Cent_3zALFF_17Networks_RH_SomMotB_Cent_3,0,0.04447808578329,0,0,0.014855420518547,0,0.059333506301837
17Networks_RH_SomMotB_Cent_2,zfALFF_17Networks_RH_SomMotB_Cent_2zALFF_17Networks_RH_SomMotB_Cent_2,0,0.035628445120417,0,0,0.014855420518547,0,0.050483865638964
17Networks_RH_SomMotB_Cent_1,zfALFF_17Networks_RH_SomMotB_Cent_1,,,,,0.044161776882529,,0.044161776882529
17Networks_RH_SomMotB_S2_6,zfALFF_17Networks_RH_SomMotB_S2_6zALFF_17Networks_RH_SomMotB_S2_6zDCwei_17Networks_RH_SomMotB_S2_6zDCbin_17Networks_RH_SomMotB_S2_6,0,0.041177301859391,0.035628445120417,0.043235049428021,0.014855420518547,0,0.134896216926376
17Networks_RH_SomMotB_S2_5,zfALFF_17Networks_RH_SomMotB_S2_5,,,,,0.039714234785231,,0.039714234785231
17Networks_RH_SomMotA_14,zfALFF_17Networks_RH_SomMotA_14zALFF_17Networks_RH_SomMotA_14,0,0.014855420518547,0,0,0.03614147332191,0,0.050996893840457
17Networks_RH_SomMotA_12,zfALFF_17Networks_RH_SomMotA_12,,,,,0.0292415330267,,0.0292415330267
17Networks_RH_SomMotA_6,zfALFF_17Networks_RH_SomMotA_6zDCwei_17Networks_RH_SomMotA_6zDCbin_17Networks_RH_SomMotA_6,0,0,0.036425058638176,0.036570342780866,0.015935533065991,0,0.088930934485033
17Networks_RH_SomMotA_3,zfALFF_17Networks_RH_SomMotA_3,,,,,0.020950240934517,,0.020950240934517
17Networks_RH_SomMotA_2,zfALFF_17Networks_RH_SomMotA_2,,,,,0.014855420518547,,0.014855420518547
17Networks_RH_SomMotA_1,zfALFF_17Networks_RH_SomMotA_1,,,,,0.006447047112337,,0.006447047112337
17Networks_LH_TempPar_1,zfALFF_17Networks_LH_TempPar_1,,,,,0.04620256910693,,0.04620256910693
17Networks_LH_DefaultB_PFCv_1,zfALFF_17Networks_LH_DefaultB_PFCv_1,,,,,0.04447808578329,,0.04447808578329
17Networks_LH_DefaultB_PFCd_1,zfALFF_17Networks_LH_DefaultB_PFCd_1,,,,,0.026109301883924,,0.026109301883924
17Networks_LH_DefaultB_IPL_1,zfALFF_17Networks_LH_DefaultB_IPL_1,,,,,0.04961052048189,,0.04961052048189
17Networks_LH_DefaultB_Temp_1,zfALFF_17Networks_LH_DefaultB_Temp_1,,,,,0.036364928127434,,0.036364928127434
17Networks_LH_DefaultA_PFCm_6,zfALFF_17Networks_LH_DefaultA_PFCm_6,,,,,0.036616609051211,,0.036616609051211
17Networks_LH_DefaultA_PFCm_5,zfALFF_17Networks_LH_DefaultA_PFCm_5,,,,,0.044540428762109,,0.044540428762109
17Networks_LH_DefaultA_PFCm_3,zfALFF_17Networks_LH_DefaultA_PFCm_3,,,,,0.034369527745088,,0.034369527745088
17Networks_LH_DefaultA_pCunPCC_7,zfALFF_17Networks_LH_DefaultA_pCunPCC_7zALFF_17Networks_LH_DefaultA_pCunPCC_7,0,0.036364928127434,0,0,0.032872898931033,0,0.069237827058467
17Networks_LH_DefaultA_PFCd_1,zfALFF_17Networks_LH_DefaultA_PFCd_1,,,,,0.033202617925107,,0.033202617925107
17Networks_LH_ContC_pCun_3,zfALFF_17Networks_LH_ContC_pCun_3zALFF_17Networks_LH_ContC_pCun_3,0,0.035628445120417,0,0,0.03859447712233,0,0.074222922242747
17Networks_LH_ContB_PFCmp_1,zfALFF_17Networks_LH_ContB_PFCmp_1,,,,,0.040176966219139,,0.040176966219139
17Networks_LH_ContB_PFClv_3,zfALFF_17Networks_LH_ContB_PFClv_3,,,,,0.014855420518547,,0.014855420518547
17Networks_LH_ContB_PFClv_2,zfALFF_17Networks_LH_ContB_PFClv_2,,,,,0.014855420518547,,0.014855420518547
17Networks_LH_ContA_PFCl_3,zfALFF_17Networks_LH_ContA_PFCl_3,,,,,0.0292415330267,,0.0292415330267
17Networks_LH_ContA_PFClv_2,zfALFF_17Networks_LH_ContA_PFClv_2,,,,,0.041309255498928,,0.041309255498928
17Networks_LH_ContA_IPS_3,zfALFF_17Networks_LH_ContA_IPS_3,,,,,0.044213036700092,,0.044213036700092
