parc_name,parcel_name,gmd_sws_rs_fdr,zALFF_sws_rs_fdr,zDCbin_sws_rs_fdr,zDCwei_sws_rs_fdr,zfALFF_sws_rs_fdr,zReHo_sws_rs_fdr,sws_rs
17Networks_LH_DorsAttnA_SPL_3,zfALFF_17Networks_LH_DorsAttnA_SPL_3,,,,,0.036450365417829,,0.036450365417829
17Networks_LH_SomMotB_Cent_3,zfALFF_17Networks_LH_SomMotB_Cent_3,,,,,0.024345739320034,,0.024345739320034
17Networks_LH_SomMotB_Aud_4,zfALFF_17Networks_LH_SomMotB_Aud_4,,,,,0.035281667812391,,0.035281667812391
17Networks_LH_SomMotB_Aud_3,zfALFF_17Networks_LH_SomMotB_Aud_3,,,,,0.030358802440932,,0.030358802440932
17Networks_LH_SomMotB_S2_2,zfALFF_17Networks_LH_SomMotB_S2_2,,,,,0.048707177961764,,0.048707177961764
17Networks_LH_SomMotB_Ins_1,zfALFF_17Networks_LH_SomMotB_Ins_1,,,,,0.044932991479174,,0.044932991479174
17Networks_LH_SomMotB_Aud_1,zfALFF_17Networks_LH_SomMotB_Aud_1,,,,,0.007178888636167,,0.007178888636167
17Networks_RH_TempPar_6,zALFF_17Networks_RH_TempPar_6,,0.04757174490563,,,,,0.04757174490563
17Networks_RH_TempPar_5,zALFF_17Networks_RH_TempPar_5,,0.013410007437357,,,,,0.013410007437357
17Networks_RH_TempPar_2,zALFF_17Networks_RH_TempPar_2,,0.048707177961764,,,,,0.048707177961764
17Networks_RH_DefaultB_PFCd_4,zALFF_17Networks_RH_DefaultB_PFCd_4,,0.048707177961764,,,,,0.048707177961764
17Networks_RH_DefaultB_PFCd_2,zALFF_17Networks_RH_DefaultB_PFCd_2,,0.014604266540864,,,,,0.014604266540864
17Networks_RH_DefaultA_pCunPCC_2,zALFF_17Networks_RH_DefaultA_pCunPCC_2,,0.048707177961764,,,,,0.048707177961764
17Networks_RH_ContC_pCun_3,zALFF_17Networks_RH_ContC_pCun_3,,0.028244266318313,,,,,0.028244266318313
17Networks_RH_SalVentAttnA_Ins_4,zALFF_17Networks_RH_SalVentAttnA_Ins_4,,0.026290547316107,,,,,0.026290547316107
17Networks_RH_SalVentAttnA_Ins_2,zALFF_17Networks_RH_SalVentAttnA_Ins_2,,0.014511638718519,,,,,0.014511638718519
17Networks_RH_SalVentAttnA_ParOper_1,zALFF_17Networks_RH_SalVentAttnA_ParOper_1zDCwei_17Networks_RH_SalVentAttnA_ParOper_1zDCbin_17Networks_RH_SalVentAttnA_ParOper_1,0,0.01449884910896,0.007178888636167,0.008439495818958,0,0,0.030117233564085
17Networks_RH_DorsAttnB_PostC_6,zALFF_17Networks_RH_DorsAttnB_PostC_6,,0.04909903218292,,,,,0.04909903218292
17Networks_RH_DorsAttnA_ParOcc_1,zALFF_17Networks_RH_DorsAttnA_ParOcc_1,,0.040018663363571,,,,,0.040018663363571
17Networks_RH_DorsAttnA_TempOcc_1,zALFF_17Networks_RH_DorsAttnA_TempOcc_1zDCwei_17Networks_RH_DorsAttnA_TempOcc_1zDCbin_17Networks_RH_DorsAttnA_TempOcc_1,0,0.007178888636167,0.014564836062952,0.02099913662271,0,0,0.042742861321829
17Networks_RH_SomMotB_Aud_2,zALFF_17Networks_RH_SomMotB_Aud_2,,0.041322339406613,,,,,0.041322339406613
